# intraday sessions v1 — one row per complete regular session; the rules, the null and trial 3 run from this file anywhere
# {"symbol": "SPY", "timeframe": "1m", "provenance": {"source": "alpaca", "fetched_at": "2026-09-03T18:45:53+00:00", "adjusted": null, "path": "/Users/danielalba/Desktop/ca/tools/market/bars/SPY-1m.csv"}, "skipped": {"202 bars": 1, "185 bars": 1, "300 bars": 1, "233 bars": 1, "214 bars": 1, "206 bars": 1, "212 bars": 1, "207 bars": 1, "204 bars": 2, "47 bars": 1, "215 bars": 1, "213 bars": 2}, "sessions": 1518, "measured_by": "intraday.measure v1", "exported_at": "2026-09-04T02:44:31+00:00"}
date,r_first30,r_open_to_1530,open_1530,last_print,fill_slipped,exit_time
2021-08-30,0.0009645446683961278,0.003836005232932038,452.71,452.22,0,15:59
2021-08-31,-0.0022781058545108257,-0.0018799902682856695,451.27,451.61,0,15:59
2021-09-01,-0.001281456441528106,-0.0009500452928570269,452.14,451.715,0,15:59
2021-09-02,4.411797145564833e-05,-0.0022941345156949344,452.42,453.22,0,15:59
2021-09-03,0.0008849361739784456,0.002809672352381609,453.28,453.05,0,15:59
2021-09-07,-0.002109634734970167,-0.001844549742094359,451.82,451.5,0,15:59
2021-09-08,0.0007319020581972868,-0.0003548616039743546,450.72,450.93,0,15:59
2021-09-09,0.002196193265007418,-0.0024956741647810254,449.48,448.95,0,15:59
2021-09-10,-0.0030812200744813056,-0.009443163681503774,446.85,445.53,0,15:59
2021-09-13,-0.0032763501014109186,-0.005962065660730653,446.015,446.58,0,15:59
2021-09-14,-0.004663304922129519,-0.010553795350082606,443.43,444.2,0,15:59
2021-09-15,0.0010121229841884016,0.007467218461123304,447.92,447.885,0,15:59
2021-09-16,-0.002805660503901075,0.00023473653618300006,447.435,447.17,0,15:59
2021-09-17,-0.0025974610099738227,-0.00719642877222193,441.505,441.39,0,15:59
2021-09-20,0.0018625827814569007,-0.009128955114054427,430.875,434.01,0,15:59
2021-09-21,-0.0005382254592094515,-0.002084192203747004,435.67,433.63,0,15:59
